name,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,early_to_mid_percent_increase,rank_salary_potential_state
Adams State University,Colorado,44400,81400,56,3,0.833,16
Adventist University of Health Sciences,Florida,51600,89800,88,5,0.74,14
Agnes Scott College,Georgia,46000,83600,57,26,0.817,14
Alabama A&M University,Alabama,48700,83500,58,20,0.715,10
Alabama State University,Alabama,39800,71500,61,16,0.796,20
Alaska Pacific University,Alaska,50300,90000,67,6,0.789,3
Albany College of Pharmacy and Health Sciences,New-York,81000,144800,82,2,0.788,1
Albertus Magnus College,Connecticut,49700,85900,62,2,0.728,18
Albion College,Michigan,52100,99300,44,23,0.906,7
Alcorn State University,Mississippi,40900,69500,67,19,0.699,10
Alderson Broaddus University,West-Virginia,50600,90500,72,15,0.789,3
Allen College,Iowa,51600,91300,0,0,0.769,5
Alma College,Michigan,48400,89900,52,15,0.857,15
Amberton University,Texas,52800,93600,57,0,0.773,24
Amherst College,Massachusetts,63800,116500,45,32,0.826,10
Amridge University,Alabama,35700,65900,0,0,0.846,24
Anderson University (South Carolina),South-Carolina,39900,70100,51,5,0.757,22
Andrews University,Michigan,47600,85000,51,7,0.786,21
Appalachian State University,North-Carolina,46600,82700,47,9,0.775,15
Arizona Christian University,Arizona,42600,76600,0,7,0.798,5
Arizona State University-Tempe,Arizona,54500,100900,52,30,0.851,3
Arkansas State University-Main Campus,Arkansas,44600,81400,52,7,0.825,6
Arkansas Tech University,Arkansas,45000,76900,54,7,0.709,13
Armstrong State University,Georgia,46600,81500,60,10,0.749,16
Asbury University,Kentucky,39400,70800,59,4,0.797,20
Athens State University,Alabama,45000,78800,51,9,0.751,15
Auburn University,Alabama,54400,104500,51,31,0.921,1
Auburn University at Montgomery,Alabama,45000,79600,61,12,0.769,13
Augsburg University,Minnesota,50500,91000,52,11,0.802,12
Augusta University,Georgia,47000,84400,69,10,0.796,13
Augustana University,South-Dakota,47900,88400,54,18,0.846,3
Austin Peay State University,Tennessee,44200,78200,63,10,0.769,20
Avila University,Missouri,45900,81200,68,3,0.769,17
Babson College,Massachusetts,72000,133800,37,0,0.858,4
Baker University,Kansas,47800,84200,55,2,0.762,10
Ball State University,Indiana,45600,83700,48,7,0.836,22
Baptist Memorial College of Health Sciences,Tennessee,55700,95700,90,4,0.718,5
Barnard College,New-York,59200,109800,57,19,0.855,19
Barnes-Jewish College Goldfarb School of Nursing,Missouri,55000,95200,83,0,0.731,5
Barry University,Florida,47400,84400,66,12,0.781,24
Barton College,North-Carolina,42400,77900,62,6,0.837,24
Bastyr University,Washington,48400,86300,0,0,0.783,22
Bates College,Maine,59500,111900,50,23,0.881,3
Baylor University,Texas,55500,101400,49,16,0.827,12
Belhaven University,Mississippi,41200,74300,60,2,0.803,7
Bellarmine University,Kentucky,49000,90700,54,11,0.851,3
Bellevue College,Washington,50100,88500,56,14,0.766,18
Bellevue University,Nebraska,49400,84800,57,23,0.717,10
Bellin College,Wisconsin,55800,97600,94,0,0.749,6
Belmont Abbey College,North-Carolina,46700,82900,49,7,0.775,14
Belmont University,Tennessee,47300,80900,47,3,0.71,17
Beloit College,Wisconsin,47400,85700,59,24,0.808,17
Benedict College,South-Carolina,38100,67500,61,19,0.772,24
Benedictine College,Kansas,48700,91800,69,13,0.885,3
Bennington College,Vermont,48800,90000,50,5,0.844,6
Bentley University,Massachusetts,66600,116600,36,7,0.751,9
Berea College,Kentucky,39500,71600,53,27,0.813,19
Berry College,Georgia,44900,84900,44,21,0.891,12
Bethany College (Kansas),Kansas,39100,73200,61,17,0.872,23
Bethany College (West Virginia),West-Virginia,46000,84900,63,5,0.846,6
Bethel College-North Newton,Kansas,42700,73800,54,12,0.728,22
Bethel University (Minnesota),Minnesota,51000,85700,65,9,0.68,21
Binghamton University,New-York,61300,109600,44,34,0.788,20
Birmingham Southern College,Alabama,49100,88300,48,27,0.798,7
Black Hills State University,South-Dakota,40400,72600,51,11,0.797,10
Bloomfield College,New-Jersey,48400,89100,55,17,0.841,23
Bluefield State College,West-Virginia,43200,72800,60,3,0.685,15
Boise State University,Idaho,50100,86400,55,14,0.725,4
Boston College,Massachusetts,63600,115400,43,13,0.814,11
Boston University,Massachusetts,61400,113600,43,25,0.85,13
Bowdoin College,Maine,61300,112000,54,37,0.827,2
Bowie State University,Maryland,50300,89900,65,11,0.787,18
Bowling Green State University-Main Campus,Ohio,47200,87500,45,11,0.854,25
Bradley University,Illinois,55600,104900,46,38,0.887,6
Brandeis University,Massachusetts,60600,113200,48,29,0.868,14
Brescia University,Kentucky,44300,81200,53,7,0.833,10
Brigham Young University-Hawaii,Hawaii,51700,93900,57,12,0.816,1
Brigham Young University-Idaho,Idaho,53700,93500,59,14,0.741,2
Brigham Young University-Provo,Utah,59200,108000,60,25,0.824,1
Brown University,Rhode-Island,68200,127600,45,43,0.871,1
Bryant University,Rhode-Island,60500,108600,37,8,0.795,2
Bucknell University,Pennsylvania,66700,122900,40,40,0.843,5
Butler University,Indiana,51800,99300,53,9,0.917,7
California Institute of Technology,California,84100,151600,53,97,0.803,3
